City,State,Team Name,Abbrivation
Phoenix,AZ,Arizona Cardinals,ARI
St Louis,MO,St Louis Rams,STL
San Diego,CA,San Diego Chargers,SD
Oakland,CA,Oakland Raiders,OAK
San Francisco,CA,San Francisco 49ers,SF
Denver,CO,Denver Broncos,DEN
Jacksonville,FL,Jacksonville Jaguars,JAC
Miami,FL,Miami Dolphins,MIA
Tampa,FL,Tampa Bay Buccaneers,TB
Atlanta,GA,Atlanta Falcons,ATL
Chicago,IL,Chicago Bears,CHI
indianapolis,IN,Indianapolis Colts,IND
New Orleans,LA,New Orleans Saints,NO
Baltimore,MD,Baltimore Ravens,BAL
Washington,DC,Washington Redskins,WAS
Foxborough,MA,New England Patriots,NE
Detroit,MI,Detroit Lions,DET
Minneapolis,MN,Minnesota Vikings,MIN
Kansas City,MO,Kansas City Chiefs,KC
East Rutherford,NJ,New York Giants,NYG
East Rutherford,NJ,New York Jets,NYJ
Buffalo,NY,Buffalo Bills,BUF
Charlotte,NC,Carolina Panthers,CAR
Cincinnati,OH,Cincinnati Bengals,CIN
Cleveland,OH,Cleveland Browns,CLE
Philadelphia,PA,Philadelphia Eagles,PHI
Pittsburgh,PA,Pittsburgh Steelers,PIT
Nashville,TN,Tennessee Titans,TEN
Arlington,TX,Dallas Cowboys,DAL
Houston,TX,Houston Texans,HOU
Seattle,WA,Seattle Seahawks,SEA
Green Bay,WI,Green Bay Packers,GB